Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
139,711,143,Sep 14,NYY,@,BOS,W5-3,CG,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.310,.413,.688,1.102,1,.77,0.013,.31,0.00%,-0.29,7.00,9.20,CF
140,712,144,Sep 16,NYY,@,MIL,L6-7,CG,5,4,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,.311,.415,.687,1.102,1,1.01,0.013,.29,0.00%,0.77,12.00,15.40,CF RF
141,713,145,Sep 17,NYY,@,MIL,L1-4,CG,4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.312,.415,.687,1.102,1,1.10,0.021,.38,0.00%,0.21,7.00,9.00,CF RF
142,714,146,Sep 18,NYY,@,MIL,W12-8,CG,6,5,3,4,1,0,2,4,1,0,0,0,0,0,0,0,0,0,.316,.419,.701,1.120,1,.57,0.154,.29,0.05%,4.36,44.00,59.60,CF
143,715,147,Sep 20,NYY,,PIT,W9-8,CG,5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.316,.419,.703,1.123,1,1.01,-0.046,.32,-0.01%,0.27,16.00,21.70,RF
144,716,148,Sep 21,NYY,,PIT,W14-2,GS-8,5,4,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,.317,.421,.705,1.126,1,.48,0.097,.13,0.02%,1.09,16.00,21.40,RF
145,717,149,Sep 22,NYY,,BOS,W5-4,CG(10),5,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.316,.422,.703,1.125,1,1.55,0.036,.25,0.00%,0.38,6.00,9.00,RF
146,718,150,Sep 23,NYY,,BOS,W5-4,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.315,.421,.699,1.120,1,1.01,-0.067,.09,0.00%,-0.83,3.00,3.00,CF RF
147,719,151,Sep 24,NYY,,BOS,W7-5,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.314,.420,.696,1.116,1,1.41,-0.055,.10,0.00%,-0.20,2.00,3.00,RF
148,720,152,Sep 25,NYY,,BOS,W2-0,CG(6),3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.314,.421,.697,1.118,1,1.10,0.060,.05,0.00%,0.57,7.00,9.00,DH
149,721,153,Sep 26,NYY,@,TOR,L2-3,CG(10),5,3,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,.314,.422,.695,1.117,1,1.92,0.051,.10,0.00%,0.63,9.00,12.20,RF
150,722,154,Sep 27,NYY,@,TOR,W5-2,CG,5,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,.314,.425,.693,1.119,1,.82,0.074,.03,0.00%,1.14,12.00,18.40,CF RF
151,723,155,Sep 28,NYY,@,TOR,W8-3,CG,5,4,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.313,.425,.696,1.121,1,1.09,0.225,.05,0.01%,0.42,20.00,28.40,DH
152,724,156,Sep 30,NYY,,BAL,L1-2,CG,4,2,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,.314,.427,.695,1.122,1,1.63,0.100,.09,0.00%,0.50,7.00,9.00,RF
153,725,157,Oct 1,NYY,,BAL,W8-0,GS-9,5,2,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,.313,.428,.692,1.121,1,.31,0.048,.02,0.00%,0.89,8.00,12.20,RF
154,726,158,Oct 2,NYY,,BAL,L1-3,CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.311,.427,.689,1.116,1,1.88,-0.047,.13,0.00%,-0.53,2.00,3.00,DH
155,727,159,Oct 3,NYY,@,TEX,W3-1,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.311,.426,.686,1.112,1,.90,-0.053,.04,0.00%,-0.57,3.00,3.00,RF
156,728,160,Oct 4 (1),NYY,@,TEX,W5-4,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.425,.681,1.106,1,.98,-0.011,.07,0.00%,-0.44,5.00,6.20,DH
157,729,161,Oct 4 (2),NYY,@,TEX,L2-3,GS-2,2,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.311,.425,.686,1.111,1,.65,0.091,.07,0.01%,0.90,14.00,18.70,RF
,,,,,,,96-61,,696,570,133,177,28,0,62,131,111,19,175,6,0,5,1,14,16,3,.311,.425,.686,1.111,,1.09,8.113,.68,3.23%,81.07,1863.00,2504.10,
