Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
50,622,52,Jun 3,NYY,,DET,W13-0,CG,5,5,2,4,0,0,1,2,0,0,0,0,0,0,0,1,0,0,.316,.384,.679,1.063,2,.23,0.139,.22,0.08%,0.85,27.00,34.40,RF
51,623,53,Jun 4,NYY,,DET,W3-0,CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.316,.386,.689,1.075,1,.66,0.083,.58,0.04%,1.47,16.00,21.70,CF
52,624,54,Jun 5,NYY,,DET,W5-4,CG(10),5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.313,.382,.677,1.059,2,1.29,-0.163,1.05,-0.08%,-1.45,5.00,6.20,CF
53,625,55,Jun 7,NYY,@,MIN,W10-4,CG,6,5,2,2,0,0,1,3,1,1,2,0,0,0,0,0,0,0,.315,.385,.685,1.070,2,1.25,0.201,1.08,0.10%,1.36,25.00,34.90,CF
54,626,56,Jun 8,NYY,@,MIN,L1-8,GS-8,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.311,.383,.675,1.058,2,.91,-0.023,.78,-0.01%,-0.22,2.00,3.00,CF
55,627,57,Jun 9,NYY,@,MIN,W10-7,CG,5,4,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,.310,.383,.671,1.055,2,.96,0.052,.79,0.03%,-0.32,11.00,15.40,CF
56,628,58,Jun 10,NYY,,CHC,W2-1,CG(13),6,4,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,.308,.386,.664,1.050,2,1.62,0.024,1.30,0.01%,0.77,7.00,9.00,CF
57,629,59,Jun 11,NYY,,CHC,W8-0,CG,4,3,2,2,0,0,2,3,0,0,0,0,0,1,0,0,0,0,.313,.388,.691,1.079,1,.54,0.108,.39,0.05%,1.60,30.00,40.90,DH
58,630,60,Jun 12,NYY,,CHC,W18-4,CG,6,6,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.318,.391,.686,1.077,1,.29,0.015,.19,0.01%,0.25,13.00,15.40,CF
59,631,61,Jun 14,NYY,,TBR,W2-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.385,.674,1.059,2,.60,-0.060,.50,-0.03%,-0.85,0.00,0.00,CF
60,632,62,Jun 15,NYY,,TBR,W4-3,CG,3,3,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.313,.384,.683,1.067,2,.57,0.078,.42,0.03%,0.55,14.00,18.70,CF
